state,date,ML,High_90,Low_90
Ekurhuleni,2020-05-21,1.67,4.34,0.0
Ekurhuleni,2020-05-22,2.22,4.03,0.16
Ekurhuleni,2020-05-23,2.1,3.64,0.33
Ekurhuleni,2020-05-24,2.13,3.5100000000000002,0.55
Ekurhuleni,2020-05-25,2.0,3.24,0.6
Ekurhuleni,2020-05-26,1.83,2.94,0.53
Ekurhuleni,2020-05-27,1.77,2.83,0.58
Ekurhuleni,2020-05-28,1.72,2.7,0.5700000000000001
Ekurhuleni,2020-05-29,1.68,2.61,0.58
Johannesburg,2020-04-11,0.42,2.35,0.0
Johannesburg,2020-04-12,0.53,1.92,0.0
Johannesburg,2020-04-13,0.53,1.6600000000000001,0.0
Johannesburg,2020-04-15,0.62,1.6300000000000001,0.0
Johannesburg,2020-04-16,0.75,1.67,0.0
Johannesburg,2020-04-17,0.8,1.6500000000000001,0.0
Johannesburg,2020-04-18,0.8200000000000001,1.6600000000000001,0.03
Johannesburg,2020-04-19,0.79,1.59,0.0
Johannesburg,2020-04-20,0.58,1.43,0.0
Johannesburg,2020-04-21,0.43,1.31,0.0
Johannesburg,2020-04-22,0.38,1.25,0.0
Johannesburg,2020-04-23,0.4,1.28,0.0
Johannesburg,2020-04-24,0.44,1.34,0.0
Johannesburg,2020-04-25,0.44,1.35,0.0
Johannesburg,2020-04-26,0.47000000000000003,1.4000000000000001,0.0
Johannesburg,2020-04-27,0.46,1.41,0.0
Johannesburg,2020-04-28,0.54,1.5,0.0
Johannesburg,2020-04-29,0.8200000000000001,1.75,0.01
Johannesburg,2020-04-30,1.04,1.95,0.08
Johannesburg,2020-05-01,1.21,2.11,0.17
Johannesburg,2020-05-02,1.27,2.17,0.24
Johannesburg,2020-05-03,1.11,1.93,0.1
Johannesburg,2020-05-04,0.97,1.79,0.06
Johannesburg,2020-05-05,0.84,1.6500000000000001,0.0
Johannesburg,2020-05-06,0.77,1.62,0.0
Johannesburg,2020-05-07,0.91,1.73,0.01
Johannesburg,2020-05-08,0.9,1.77,0.06
Johannesburg,2020-05-09,0.9,1.74,0.03
Johannesburg,2020-05-10,0.8300000000000001,1.67,0.0
Johannesburg,2020-05-11,0.77,1.6300000000000001,0.0
Johannesburg,2020-05-12,0.84,1.69,0.0
Johannesburg,2020-05-13,0.85,1.7,0.01
Johannesburg,2020-05-14,0.92,1.75,0.01
Johannesburg,2020-05-15,1.04,1.9000000000000001,0.1
Johannesburg,2020-05-16,0.9,1.71,0.0
Johannesburg,2020-05-17,0.76,1.62,0.0
Johannesburg,2020-05-18,0.77,1.6300000000000001,0.0
Johannesburg,2020-05-19,0.98,1.84,0.07
Johannesburg,2020-05-20,1.2,2.07,0.19
Johannesburg,2020-05-21,1.36,2.22,0.31
Johannesburg,2020-05-22,1.51,2.41,0.54
Johannesburg,2020-05-23,1.53,2.36,0.55
Johannesburg,2020-05-24,1.44,2.2600000000000002,0.51
Johannesburg,2020-05-25,1.3800000000000001,2.17,0.46
Johannesburg,2020-05-26,1.48,2.25,0.5700000000000001
Johannesburg,2020-05-27,1.54,2.3000000000000003,0.67
Johannesburg,2020-05-28,1.67,2.42,0.85
Johannesburg,2020-05-29,1.73,2.44,0.93
Sedibeng,2020-05-26,3.36,6.44,0.02
Sedibeng,2020-05-27,2.56,4.8,0.1
Sedibeng,2020-05-28,2.27,4.1,0.14
Sedibeng,2020-05-29,2.1,3.68,0.17
Tshwane,2020-04-30,2.2800000000000002,4.74,0.0
Tshwane,2020-05-01,1.6,3.41,0.0
Tshwane,2020-05-02,1.11,2.74,0.0
Tshwane,2020-05-03,1.04,2.5,0.0
Tshwane,2020-05-04,0.64,2.14,0.0
Tshwane,2020-05-05,0.99,2.2800000000000002,0.0
Tshwane,2020-05-06,1.11,2.29,0.02
Tshwane,2020-05-07,1.19,2.29,0.03
Tshwane,2020-05-08,1.1400000000000001,2.2,0.03
Tshwane,2020-05-09,1.01,2.04,0.0
Tshwane,2020-05-10,0.77,1.87,0.0
Tshwane,2020-05-11,0.55,1.73,0.0
Tshwane,2020-05-12,0.45,1.62,0.0
Tshwane,2020-05-13,0.47000000000000003,1.6600000000000001,0.0
Tshwane,2020-05-14,0.55,1.76,0.0
Tshwane,2020-05-15,0.5700000000000001,1.78,0.0
Tshwane,2020-05-16,0.46,1.6600000000000001,0.0
Tshwane,2020-05-17,0.43,1.62,0.0
Tshwane,2020-05-18,0.41000000000000003,1.59,0.0
Tshwane,2020-05-19,0.43,1.6400000000000001,0.0
Tshwane,2020-05-20,0.54,1.83,0.0
Tshwane,2020-05-21,0.73,2.02,0.0
Tshwane,2020-05-22,0.98,2.18,0.0
Tshwane,2020-05-23,1.19,2.36,0.08
Tshwane,2020-05-24,1.25,2.34,0.06
Tshwane,2020-05-25,1.3,2.36,0.1
Tshwane,2020-05-26,1.24,2.29,0.11
Tshwane,2020-05-27,1.28,2.27,0.09
Tshwane,2020-05-28,1.3,2.29,0.13
Tshwane,2020-05-29,1.32,2.29,0.15
West Rand,2020-05-23,4.58,6.55,2.33
West Rand,2020-05-24,3.73,5.0200000000000005,2.2600000000000002
West Rand,2020-05-25,2.8000000000000003,3.8200000000000003,1.62
West Rand,2020-05-26,1.99,2.89,0.9400000000000001
West Rand,2020-05-27,1.32,2.18,0.36
West Rand,2020-05-28,0.79,1.54,0.0
West Rand,2020-05-29,0.2,1.06,0.0
