state,date,ML,High_90,Low_90
DC47,2020-05-17,0.16,5.1000000000000005,0.0
DC47,2020-05-18,1.67,4.34,0.0
DC47,2020-05-19,1.42,3.61,0.0
DC47,2020-05-20,1.61,3.41,0.0
DC47,2020-05-21,1.47,3.06,0.0
DC47,2020-05-22,1.19,2.68,0.0
DC47,2020-05-23,0.8,2.31,0.0
DC47,2020-05-24,0.24,2.04,0.0
DC47,2020-05-25,0.22,1.93,0.0
DC47,2020-05-26,0.23,1.92,0.0
DC47,2020-05-27,0.24,1.92,0.0
DC47,2020-05-28,0.28,2.02,0.0
LIM476,2020-05-17,0.16,5.1000000000000005,0.0
LIM476,2020-05-18,1.67,4.34,0.0
LIM476,2020-05-19,1.42,3.61,0.0
LIM476,2020-05-20,1.61,3.41,0.0
LIM476,2020-05-21,1.47,3.06,0.0
LIM476,2020-05-22,1.19,2.68,0.0
LIM476,2020-05-23,0.8,2.31,0.0
LIM476,2020-05-24,0.24,2.04,0.0
LIM476,2020-05-25,0.22,1.93,0.0
LIM476,2020-05-26,0.23,1.92,0.0
LIM476,2020-05-27,0.24,1.92,0.0
LIM476,2020-05-28,0.28,2.02,0.0
