state,date,ML,Low_90,High_90,Low_50,High_50
EC,2020-04-11,3.84,0.77,6.33,2.5300000000000002,4.9
EC,2020-04-12,3.35,1.21,5.12,2.43,4.04
EC,2020-04-13,3.11,1.51,4.55,2.38,3.63
EC,2020-04-14,2.67,1.3,3.87,2.11,3.16
EC,2020-04-15,2.19,0.98,3.29,1.6400000000000001,2.59
EC,2020-04-16,1.71,0.53,2.71,1.19,2.09
EC,2020-04-17,1.4000000000000001,0.3,2.37,0.87,1.75
EC,2020-04-18,1.09,0.07,1.99,0.64,1.49
EC,2020-04-19,1.1,0.06,2.0100000000000002,0.63,1.49
EC,2020-04-20,1.19,0.17,2.16,0.74,1.61
EC,2020-04-21,1.3800000000000001,0.31,2.37,0.87,1.75
EC,2020-04-22,1.45,0.33,2.38,0.96,1.82
EC,2020-04-23,1.48,0.4,2.41,0.99,1.83
EC,2020-04-24,1.44,0.38,2.34,0.9500000000000001,1.77
EC,2020-04-25,1.3,0.27,2.17,0.84,1.6400000000000001
EC,2020-04-26,1.1500000000000001,0.16,1.99,0.67,1.46
EC,2020-04-27,0.87,0.0,1.67,0.43,1.18
EC,2020-04-28,0.6900000000000001,0.0,1.55,0.28,0.99
EC,2020-04-29,0.67,0.0,1.55,0.25,0.96
EC,2020-04-30,0.61,0.0,1.5,0.2,0.89
EC,2020-05-01,0.61,0.0,1.52,0.23,0.92
FS,2020-03-21,3.84,0.0,8.31,1.47,5.5200000000000005
FS,2020-03-22,3.35,0.07,6.48,1.6,4.63
FS,2020-03-23,3.5700000000000003,0.46,6.12,2.16,4.66
FS,2020-03-24,2.99,0.44,5.13,1.8,3.86
FS,2020-03-25,3.16,0.84,5.0600000000000005,2.22,3.98
FS,2020-03-26,2.68,0.6900000000000001,4.3500000000000005,1.77,3.31
FS,2020-03-27,2.07,0.32,3.5300000000000002,1.26,2.65
FS,2020-03-28,1.36,0.0,2.68,0.65,1.8900000000000001
FS,2020-03-29,0.67,0.0,2.25,0.22,1.25
FS,2020-03-30,0.51,0.0,2.05,0.05,0.9500000000000001
FS,2020-03-31,0.63,0.0,2.22,0.18,1.16
FS,2020-04-01,0.65,0.0,2.25,0.13,1.1300000000000001
FS,2020-04-02,0.66,0.0,2.27,0.15,1.16
FS,2020-04-03,0.67,0.0,2.3000000000000003,0.16,1.18
FS,2020-04-04,0.59,0.0,2.19,0.1,1.06
FS,2020-04-05,0.61,0.0,2.23,0.18,1.1500000000000001
FS,2020-04-06,0.62,0.0,2.27,0.16,1.1500000000000001
FS,2020-04-07,0.63,0.0,2.31,0.15,1.16
FS,2020-04-08,0.74,0.0,2.49,0.26,1.36
FS,2020-04-09,0.64,0.0,2.34,0.13,1.16
FS,2020-04-10,0.65,0.0,2.37,0.15,1.19
FS,2020-04-11,0.5700000000000001,0.0,2.2600000000000002,0.14,1.11
FS,2020-04-12,0.59,0.0,2.31,0.09,1.09
FS,2020-04-13,0.61,0.0,2.36,0.12,1.1400000000000001
FS,2020-04-14,0.62,0.0,2.41,0.13,1.17
FS,2020-04-15,0.63,0.0,2.46,0.14,1.2
FS,2020-04-16,0.64,0.0,2.5,0.13,1.21
FS,2020-04-17,0.65,0.0,2.54,0.12,1.22
FS,2020-04-18,0.66,0.0,2.57,0.18,1.29
FS,2020-04-19,0.66,0.0,2.61,0.14,1.27
FS,2020-04-20,0.67,0.0,2.64,0.18,1.32
FS,2020-04-21,0.8,0.0,2.86,0.28,1.54
FS,2020-04-22,0.79,0.0,2.84,0.2,1.46
FS,2020-04-23,0.66,0.0,2.63,0.19,1.33
FS,2020-04-24,0.66,0.0,2.66,0.22,1.37
FS,2020-04-25,0.67,0.0,2.68,0.13,1.3
FS,2020-04-26,0.68,0.0,2.71,0.14,1.32
FS,2020-04-27,0.68,0.0,2.73,0.15,1.34
FS,2020-04-28,0.6900000000000001,0.0,2.7600000000000002,0.15,1.35
FS,2020-04-29,0.6900000000000001,0.0,2.7800000000000002,0.15,1.36
FS,2020-04-30,0.84,0.0,3.0100000000000002,0.22,1.56
FS,2020-05-01,0.8300000000000001,0.0,2.96,0.24,1.56
GP,2020-03-17,2.84,0.13,5.23,1.56,3.9
GP,2020-03-18,2.62,0.44,4.41,1.61,3.33
GP,2020-03-19,2.2800000000000002,0.47000000000000003,3.7600000000000002,1.47,2.87
GP,2020-03-20,2.32,0.76,3.67,1.6,2.81
GP,2020-03-21,2.69,1.34,3.88,2.11,3.15
GP,2020-03-22,2.59,1.44,3.67,2.05,2.97
GP,2020-03-23,2.66,1.62,3.62,2.21,3.0300000000000002
GP,2020-03-24,2.39,1.4000000000000001,3.24,1.92,2.68
GP,2020-03-25,2.14,1.24,2.97,1.75,2.46
GP,2020-03-26,1.85,0.96,2.63,1.43,2.12
GP,2020-03-27,1.34,0.49,2.13,0.9400000000000001,1.62
GP,2020-03-28,0.8,0.01,1.49,0.4,1.06
GP,2020-03-29,0.44,0.0,1.23,0.08,0.65
GP,2020-03-30,0.24,0.0,1.03,0.0,0.45
GP,2020-03-31,0.25,0.0,1.01,0.0,0.44
